Test Case,Components,Avg Alpha (α),Max Alpha (α),Critical α Count,Avg Delta (δ),Max Delta (δ),Schedulable
1-tiny-test-case,1,0.9938709677419355,0.9938709677419355,1,0.0,0.0,Yes
2-small-test-case,2,0.4085752688172043,0.5316129032258065,0,22.5,45.0,Yes
3-medium-test-case,4,0.40893645810781554,0.6229032258064516,0,4.875,12.0,Yes
4-large-test-case,7,0.2921929071929072,0.6183333333333334,0,7.5,22.5,Yes
5-huge-test-case,18,0.2574134580536605,0.5964197530864197,0,5.0,30.0,Yes
6-gigantic-test-case,34,0.25185532651753384,0.5954341736694678,0,6.852941176470588,45.0,Yes
7-unschedulable-test-case,6,0.43223489278752436,1.0194444444444444,1,2.5,7.5,No
8-unschedulable-test-case,7,0.3028755285898143,0.6361904761904762,0,3.4285714285714284,7.5,Yes
9-unschedulable-test-case,18,0.25984879918931164,0.6211111111111111,0,3.0,15.0,Yes
10-unschedulable-test-case,34,0.25587706714816116,0.5954341736694678,0,2.4705882352941178,7.5,Yes
